Freq.	V(n003)
1.00000000000000e+00	(-1.83741085660878e-07dB,-1.17387060685287e-02°)
1.00230523807790e+00	(-1.84589194327799e-07dB,-1.17657665801245e-02°)
1.00461579027839e+00	(-1.85441223950366e-07dB,-1.17928894726378e-02°)
1.00693166885180e+00	(-1.86297184171855e-07dB,-1.18200748898713e-02°)
1.00925288607668e+00	(-1.87157087528524e-07dB,-1.18473229759594e-02°)
1.01157945425990e+00	(-1.88020964878853e-07dB,-1.18746338753688e-02°)
1.01391138573668e+00	(-1.88888830687757e-07dB,-1.19020077328990e-02°)
1.01624869287070e+00	(-1.89760706170441e-07dB,-1.19294446936835e-02°)
1.01859138805412e+00	(-1.90636599041526e-07dB,-1.19569449031903e-02°)
1.02093948370768e+00	(-1.91516537266511e-07dB,-1.19845085072227e-02°)
1.02329299228075e+00	(-1.92400534345982e-07dB,-1.20121356519201e-02°)
1.02565192625141e+00	(-1.93288614388127e-07dB,-1.20398264837589e-02°)
1.02801629812647e+00	(-1.94180795715170e-07dB,-1.20675811495530e-02°)
1.03038612044162e+00	(-1.95077093756351e-07dB,-1.20953997964550e-02°)
1.03276140576140e+00	(-1.95977532619860e-07dB,-1.21232825719564e-02°)
1.03514216667934e+00	(-1.96882119055990e-07dB,-1.21512296238890e-02°)
1.03752841581801e+00	(-1.97790890673515e-07dB,-1.21792411004251e-02°)
1.03992016582906e+00	(-1.98703848436762e-07dB,-1.22073171500787e-02°)
1.04231742939330e+00	(-1.99621024168541e-07dB,-1.22354579217064e-02°)
1.04472021922080e+00	(-2.00542433298093e-07dB,-1.22636635645074e-02°)
1.04712854805090e+00	(-2.01468096076296e-07dB,-1.22919342280255e-02°)
1.04954242865232e+00	(-2.02398031789701e-07dB,-1.23202700621486e-02°)
1.05196187382322e+00	(-2.03332252010241e-07dB,-1.23486712171107e-02°)
1.05438689639126e+00	(-2.04270795311015e-07dB,-1.23771378434916e-02°)
1.05681750921366e+00	(-2.05213664585008e-07dB,-1.24056700922187e-02°)
1.05925372517729e+00	(-2.06160892619355e-07dB,-1.24342681145669e-02°)
1.06169555719872e+00	(-2.07112487128678e-07dB,-1.24629320621601e-02°)
1.06414301822431e+00	(-2.08068473185494e-07dB,-1.24916620869717e-02°)
1.06659612123026e+00	(-2.09028874897990e-07dB,-1.25204583413254e-02°)
1.06905487922266e+00	(-2.09993705766753e-07dB,-1.25493209778959e-02°)
1.07151930523761e+00	(-2.10962994721610e-07dB,-1.25782501497100e-02°)
1.07398941234124e+00	(-2.11936755263146e-07dB,-1.26072460101474e-02°)
