Frequency Log(Hz), Gain (dB), Phase (deg)
2.99999764447161, -0.355065915481963, -11.9341103891299
3.00100118870514, -0.341533438198045, -12.0904543059585
3.00199758802927, -0.353479493975341, -12.0201755599985
3.00300134704309, -0.360501258831898, -11.9564617870533
3.00399798236036, -0.355271218093595, -12.0326298382449
3.00500193198058, -0.344593875704417, -12.1333625719228
3.00599877913069, -0.356251854843614, -12.0856764375397
3.00699811949312, -0.338444289367352, -12.2213470753056
3.00799993064288, -0.34695718041094, -12.1367423136858
3.00899943617682, -0.35742312335155, -12.0622427065708
3.010001389831, -0.356005276345868, -12.1586330894107
3.01100103721412, -0.35217281969122, -12.1851709163427
3.01199838891885, -0.357710672200545, -12.2130945110559
3.01299816599614, -0.361061450737234, -12.3125658124282
3.01400034647353, -0.361985812182786, -12.2692945433301
3.01500021963676, -0.358300230133405, -12.3940125734959
3.01599779608566, -0.368357472208503, -12.3900526619859
3.01699775369609, -0.370530899992705, -12.3652248855854
3.01800007079407, -0.368380715062959, -12.4440432717645
3.0190000799495, -0.369194870349064, -12.4436978072761
3.01999779176651, -0.368815010303622, -12.5281064850837
3.0209978413336, -0.365966653924104, -12.5264887546534
3.02200020727268, -0.357224459892286, -12.5425521433766
3.02300026504452, -0.368490219458567, -12.4699679946715
3.02399802525484, -0.369229735807749, -12.5089692473384
3.02499808059269, -0.373751992806033, -12.5803938813569
3.02600040997323, -0.372759827747021, -12.5567173639644
3.02700043135471, -0.372178155805651, -12.6237705666976
3.02799815534168, -0.371172296243944, -12.6397349622845
3.02899813261183, -0.363480504255231, -12.7576850454563
3.03000034237082, -0.378466227467577, -12.6253532891535
3.03100024468098, -0.358794095822644, -12.6816396115036
3.03199785014306, -0.373413025713903, -12.765421867411
3.03300216629104, -0.389992254882402, -12.7904358498082
3.03399967717904, -0.374530428680123, -12.7570155443434
3.03499938001955, -0.372197142443343, -12.8709273971699
3.03600125444889, -0.376948188580018, -12.8799860189165
3.03700082297146, -0.381765520973365, -12.8251471179507
3.03799809617741, -0.388653950963521, -12.9123159479553
3.03900195814964, -0.381913940818749, -12.8605924921368
3.03999907852754, -0.394542247215387, -12.8738832993332
3.04099833121742, -0.393804684157441, -12.917948136174
3.04199969627974, -0.390025943685974, -12.9544929508574
3.04299875777672, -0.382135632454761, -13.0891766867951
3.04399991227572, -0.384883299630314, -13.1250270779496
3.04499876417693, -0.393130587391045, -13.1398977887148
3.0459996898914, -0.391332877077288, -13.1203074998489
3.04699831405913, -0.38219697386927, -13.1592974371843
3.04799899303158, -0.375047982919548, -13.1849208482645
3.0490017073597, -0.410302798446166, -13.1865334690262
3.05000211191767, -0.40254269623495, -13.1291420041166
3.05100021732224, -0.406804928881659, -13.215094637319
3.05200034005242, -0.403534387772354, -13.2847907722491
3.05299816492293, -0.399826017697745, -13.2163169361192
3.05399798864304, -0.386287632230985, -13.3373494629804
3.05499979217439, -0.396527184589442, -13.3938201781189
3.05599929012495, -0.402035373748835, -13.3523949176797
3.05700074972402, -0.400912975743145, -13.4147480923906
3.05799990532327, -0.408137646117686, -13.3581499614082
3.05900100458107, -0.414400248375729, -13.4804728832788
3.05999980149489, -0.411274718651087, -13.5549714042621
3.06100052424864, -0.403197082669425, -13.5549970120372
3.06199894638786, -0.406351994407075, -13.5465331144559
3.06299927671837, -0.407003974604298, -13.6183765439396
3.06400149681115, -0.404695727089725, -13.5921586774233
3.06500140940756, -0.417579804724348, -13.6456600731357
3.06599902510869, -0.415784848921682, -13.5885550768194
3.06699851421211, -0.419291828233494, -13.6623275804899
3.0679998585525, -0.412479458765872, -13.6714446489306
3.06899889942276, -0.423303267812815, -13.7470621427268
3.06999977851785, -0.423860594564104, -13.7689060497735
3.07099835628034, -0.434457099628272, -13.837122398558
3.07199875541929, -0.418947769354599, -13.9328605752407
3.07300095810156, -0.414583089172255, -13.9023863423148
3.07400085336755, -0.416001125446146, -13.9072302673232
3.07499845181778, -0.416141945167998, -13.8834431979262
3.07600191285845, -0.425104955598232, -13.7635187142525
3.07699899565307, -0.418033030851866, -13.9496919527805
3.07800190595745, -0.41569756962235, -14.0010240717017
3.07899845922337, -0.427122438865147, -14.0239811370881
3.08000080517297, -0.418325826900767, -13.9754166301953
3.0810008430473, -0.433687967285534, -14.1436700849658
3.08199858345141, -0.431326535420254, -13.9799705537617
3.08299804622755, -0.408132089740076, -14.2410691012737
3.08399921425026, -0.439182776295641, -14.2064009147418
3.08499807961303, -0.438103958894297, -14.2475855100635
3.08599863458835, -0.430670028896377, -14.1978129415198
3.0870008622462, -0.428809768997442, -14.2730311064359
3.08800078237289, -0.440403917001893, -14.1702881303131
3.08899840556974, -0.454561687046143, -14.2276891861626
3.09000163274658, -0.434583243319394, -14.3878351675239
3.09099861170189, -0.429609114032216, -14.2753154625098
3.09200116134104, -0.448683810018414, -14.3637051970575
3.09300140196785, -0.452145303250897, -14.3860115932195
3.09399934419382, -0.445539423432774, -14.445703064109
3.09499889859461, -0.44809950702081, -14.5229768284632
3.09600004880048, -0.447275246877616, -14.5226421635728
3.09699889642828, -0.44879633650213, -14.5541299932803
3.09799932523077, -0.427337008198556, -14.5376173748363
3.0990013190282, -0.444338280839067, -14.6321814522733
3.10000100636998, -0.451416923598455, -14.5932533121267
3.10099839785005, -0.460049778534363, -14.7502922604729
3.10200117934219, -0.469286652593441, -14.7016177520552
3.10300165075511, -0.452555598410341, -14.7053863848755
3.10399982270768, -0.454196900088853, -14.758723135109
3.10499951700131, -0.459544858562931, -14.9310083192693
3.10600071788073, -0.474058411331694, -14.7266034051759
3.10699961594925, -0.448220575320405, -14.8313522991159
3.10800000679045, -0.459041351569793, -14.8643361911411
3.10900187483437, -0.457427853749421, -14.8880095799252
3.11000143700088, -0.454213382157675, -14.9525866232401
3.11099870387992, -0.449511048788585, -14.9008822718254
3.11200118662737, -0.471841778256318, -15.0066081679496
3.11300136067021, -0.47035253304078, -15.0962497346237
3.11399923661787, -0.456790073602054, -14.9659141183938
3.11499854951553, -0.474712981350297, -15.0185994127441
3.11599928420537, -0.463039866380901, -15.0162355830859
